# t_s,thr_pct,str_pct
17.900,50,-12
18.000,50,-15
18.100,50,-17
18.200,50,-19
18.300,50,-21
18.400,50,-23
18.500,50,-24
18.600,50,-25
18.700,50,-25
18.800,50,-25
18.900,50,-25
19.000,50,-24
19.100,50,-23
19.200,50,-21
19.300,50,-19
19.400,50,-17
19.500,50,-15
19.600,50,-12
19.700,50,-9
19.800,50,-6
19.900,50,-3
20.000,50,0
20.100,50,3
20.200,50,6
20.300,50,9
20.400,50,12
20.500,50,15
20.600,50,17
20.700,50,19
20.800,50,21
20.900,50,23
21.000,50,24
21.100,50,25
21.200,50,25
21.300,50,25
21.400,50,25
21.500,50,24
21.600,50,23
21.700,50,21
21.800,50,19
21.900,50,17
22.000,50,15
22.100,50,12
22.200,50,9
22.300,50,6
22.400,50,3
22.500,50,0
22.600,50,-3
22.700,50,-6
22.800,50,-9
22.900,50,-12
23.000,50,-15
23.100,50,-17
23.200,50,-19
23.300,50,-21
23.400,50,-23
23.500,50,-24
23.600,50,-25
23.700,50,-25
23.800,50,-25
23.900,50,-25
24.000,50,-24
24.100,50,-23
24.200,50,-21
24.300,50,-19
24.400,50,-17
24.500,50,-15
24.600,50,-12
24.700,50,-9
24.800,50,-6
24.900,50,-3
25.000,50,0
25.100,50,3
25.200,50,6
25.300,50,9
25.400,50,12
25.500,50,15
25.600,50,17
25.700,50,19
25.800,50,21
25.900,50,23
26.000,50,24
26.100,50,25
26.200,50,25
26.300,50,25
26.400,50,25
26.500,50,24
26.600,50,23
26.700,50,21
26.800,50,19
26.900,50,17
27.000,50,15
27.100,50,12
27.200,50,9
27.300,50,6
27.400,50,3
27.500,50,0
27.600,50,-3
27.700,50,-6
27.800,50,-9
27.900,50,-12
28.000,50,-15
28.100,50,-17
28.200,50,-19
28.300,50,-21
28.400,50,-23
28.500,50,-24
28.600,50,-25
28.700,50,-25
28.800,50,-25
28.900,50,-25
29.000,50,-24
29.100,50,-23
29.200,50,-21
29.300,50,-19
29.400,50,-17
29.500,50,-15
29.600,50,-12
29.700,50,-9
29.800,50,-6
29.900,50,-3
30.000,50,0
30.100,50,3
30.200,50,6
30.300,50,9
30.400,50,12
30.500,50,15
30.600,50,17
30.700,50,19
30.800,50,21
30.900,50,23
31.000,50,24
31.100,50,25
31.200,50,25
31.300,50,25
31.400,50,25
31.500,50,24
31.600,50,23
31.700,50,21
31.800,50,19
31.900,50,17
32.000,50,15
32.100,50,12
32.200,50,9
32.300,50,6
32.400,50,3
32.500,50,0
32.600,50,-3
32.700,50,-6
32.800,50,-9
32.900,50,-12
33.000,50,-15
33.100,50,-17
33.200,50,-19
33.300,50,-21
33.400,50,-23
33.500,50,-24
33.600,50,-25
33.700,50,-25
33.800,50,-25
33.900,50,-25
34.000,50,-24
34.100,50,-23
34.200,50,-21
34.300,50,-19
34.400,50,-17
34.500,50,-15
34.600,50,-12
34.700,50,-9
34.800,50,-6
34.900,50,-3
35.000,50,0
