duty,dir,sample_idx,adc_raw
50,REV,879,1
50,REV,880,12
50,REV,881,5
50,REV,882,17
50,REV,883,18
50,REV,884,20
50,REV,885,19
50,REV,886,14
50,REV,887,14
50,REV,888,18
50,REV,889,16
50,REV,890,16
50,REV,891,16
50,REV,892,19
50,REV,893,18
50,REV,894,12
50,REV,895,18
50,REV,896,19
50,REV,897,40
50,REV,898,15
50,REV,899,22
50,REV,900,14
50,REV,901,16
50,REV,902,10
50,REV,903,16
50,REV,904,14
50,REV,905,19
50,REV,906,20
50,REV,907,16
50,REV,908,18
50,REV,909,16
50,REV,910,15
50,REV,911,16
50,REV,912,17
50,REV,913,16
50,REV,914,16
50,REV,915,18
50,REV,916,12
50,REV,917,14
50,REV,918,17
50,REV,919,18
50,REV,920,16
50,REV,921,16
50,REV,922,17
50,REV,923,18
50,REV,924,15
50,REV,925,19
50,REV,926,22
50,REV,927,10
50,REV,928,17
50,REV,929,19
50,REV,930,16
50,REV,931,14
50,REV,932,17
50,REV,933,21
50,REV,934,15
50,REV,935,18
50,REV,936,17
50,REV,937,18
50,REV,938,19
50,REV,939,0
50,REV,940,16
50,REV,941,18
50,REV,942,18
50,REV,943,20
50,REV,944,0
50,REV,945,19
50,REV,946,16
50,REV,947,22
50,REV,948,21
50,REV,949,18
50,REV,950,14
50,REV,951,15
50,REV,952,18
50,REV,953,26
50,REV,954,13
50,REV,955,17
50,REV,956,8
50,REV,957,16
50,REV,958,17
50,REV,959,20
50,REV,960,14
50,REV,961,15
50,REV,962,18
50,REV,963,2
50,REV,964,22
50,REV,965,16
50,REV,966,16
50,REV,967,14
50,REV,968,43
50,REV,969,18
50,REV,970,14
50,REV,971,18
50,REV,972,14
50,REV,973,18
50,REV,974,14
50,REV,975,19
50,REV,976,16
50,REV,977,4
50,REV,978,19
50,REV,979,18
50,REV,980,14
50,REV,981,16
50,REV,982,19
50,REV,983,18
50,REV,984,14
50,REV,985,18
50,REV,986,16
50,REV,987,11
50,REV,988,18
50,REV,989,24
50,REV,990,19
50,REV,991,15
50,REV,992,8
50,REV,993,16
50,REV,994,11
50,REV,995,18
50,REV,996,34
50,REV,997,30
50,REV,998,17
50,REV,999,18
50,REV,1000,16
50,REV,1001,31
50,REV,1002,15
50,REV,1003,16
50,REV,1004,17
50,REV,1005,17
50,REV,1006,12
50,REV,1007,16
50,REV,1008,18
50,REV,1009,16
50,REV,1010,14
50,REV,1011,27
50,REV,1012,19
50,REV,1013,16
50,REV,1014,13
50,REV,1015,18
50,REV,1016,19
50,REV,1017,16
50,REV,1018,20
50,REV,1019,18
50,REV,1020,0
50,REV,1021,15
50,REV,1022,17
50,REV,1023,20
50,REV,1024,12
50,REV,1025,32
50,REV,1026,18
50,REV,1027,14
50,REV,1028,18
50,REV,1029,14
50,REV,1030,17
50,REV,1031,17
50,REV,1032,19
50,REV,1033,18
50,REV,1034,37
50,REV,1035,15
50,REV,1036,18
50,REV,1037,16
50,REV,1038,15
50,REV,1039,18
50,REV,1040,12
50,REV,1041,19
50,REV,1042,20
50,REV,1043,14
50,REV,1044,21
50,REV,1045,19
50,REV,1046,18
50,REV,1047,16
50,REV,1048,0
50,REV,1049,16
50,REV,1050,14
50,REV,1051,16
50,REV,1052,19
50,REV,1053,16
50,REV,1054,13
50,REV,1055,17
50,REV,1056,18
50,REV,1057,13
50,REV,1058,16
50,REV,1059,14
50,REV,1060,14
50,REV,1061,19
50,REV,1062,18
50,REV,1063,18
50,REV,1064,18
50,REV,1065,19
50,REV,1066,18
50,REV,1067,0
