duty,dir,sample_idx,adc_raw
50,FWD,874,17
50,FWD,875,25
50,FWD,876,19
50,FWD,877,16
50,FWD,878,17
50,FWD,879,17
50,FWD,880,14
50,FWD,881,13
50,FWD,882,16
50,FWD,883,16
50,FWD,884,15
50,FWD,885,12
50,FWD,886,17
50,FWD,887,13
50,FWD,888,20
50,FWD,889,19
50,FWD,890,16
50,FWD,891,9
50,FWD,892,19
50,FWD,893,17
50,FWD,894,16
50,FWD,895,19
50,FWD,896,17
50,FWD,897,35
50,FWD,898,21
50,FWD,899,19
50,FWD,900,15
50,FWD,901,12
50,FWD,902,17
50,FWD,903,16
50,FWD,904,19
50,FWD,905,20
50,FWD,906,17
50,FWD,907,8
50,FWD,908,13
50,FWD,909,22
50,FWD,910,14
50,FWD,911,9
50,FWD,912,16
50,FWD,913,18
50,FWD,914,15
50,FWD,915,16
50,FWD,916,17
50,FWD,917,20
50,FWD,918,21
50,FWD,919,17
50,FWD,920,14
50,FWD,921,21
50,FWD,922,21
50,FWD,923,13
50,FWD,924,19
50,FWD,925,40
50,FWD,926,29
50,FWD,927,16
50,FWD,928,15
50,FWD,929,21
50,FWD,930,11
50,FWD,931,11
50,FWD,932,13
50,FWD,933,18
50,FWD,934,14
50,FWD,935,20
50,FWD,936,13
50,FWD,937,16
50,FWD,938,16
50,FWD,939,17
50,FWD,940,5
50,FWD,941,12
50,FWD,942,18
50,FWD,943,18
50,FWD,944,18
50,FWD,945,24
50,FWD,946,18
50,FWD,947,20
50,FWD,948,16
50,FWD,949,3
50,FWD,950,17
50,FWD,951,14
50,FWD,952,17
50,FWD,953,16
50,FWD,954,20
50,FWD,955,20
50,FWD,956,19
50,FWD,957,14
50,FWD,958,13
50,FWD,959,21
50,FWD,960,17
50,FWD,961,14
50,FWD,962,17
50,FWD,963,19
50,FWD,964,41
50,FWD,965,22
50,FWD,966,21
50,FWD,967,20
50,FWD,968,41
50,FWD,969,37
50,FWD,970,15
50,FWD,971,10
50,FWD,972,16
50,FWD,973,40
50,FWD,974,17
50,FWD,975,11
50,FWD,976,21
50,FWD,977,17
50,FWD,978,16
50,FWD,979,19
50,FWD,980,16
50,FWD,981,16
50,FWD,982,13
50,FWD,983,18
50,FWD,984,17
50,FWD,985,15
50,FWD,986,18
50,FWD,987,0
50,FWD,988,15
50,FWD,989,19
50,FWD,990,16
50,FWD,991,11
50,FWD,992,0
50,FWD,993,35
50,FWD,994,17
50,FWD,995,17
50,FWD,996,19
50,FWD,997,19
50,FWD,998,20
50,FWD,999,19
50,FWD,1000,16
50,FWD,1001,12
50,FWD,1002,17
50,FWD,1003,17
50,FWD,1004,13
50,FWD,1005,20
50,FWD,1006,18
50,FWD,1007,18
50,FWD,1008,21
50,FWD,1009,21
50,FWD,1010,17
50,FWD,1011,14
50,FWD,1012,17
50,FWD,1013,16
50,FWD,1014,17
50,FWD,1015,22
50,FWD,1016,17
50,FWD,1017,16
50,FWD,1018,17
50,FWD,1019,19
50,FWD,1020,14
50,FWD,1021,0
50,FWD,1022,16
50,FWD,1023,18
50,FWD,1024,9
50,FWD,1025,18
50,FWD,1026,5
50,FWD,1027,17
50,FWD,1028,20
50,FWD,1029,19
50,FWD,1030,16
50,FWD,1031,13
50,FWD,1032,19
50,FWD,1033,17
50,FWD,1034,20
50,FWD,1035,35
50,FWD,1036,27
50,FWD,1037,16
50,FWD,1038,14
50,FWD,1039,19
50,FWD,1040,20
50,FWD,1041,14
50,FWD,1042,15
50,FWD,1043,19
50,FWD,1044,17
50,FWD,1045,17
50,FWD,1046,19
50,FWD,1047,29
50,FWD,1048,17
50,FWD,1049,19
50,FWD,1050,17
50,FWD,1051,11
50,FWD,1052,18
50,FWD,1053,16
50,FWD,1054,16
50,FWD,1055,14
50,FWD,1056,14
50,FWD,1057,10
50,FWD,1058,15
50,FWD,1059,21
50,FWD,1060,14
50,FWD,1061,11
50,FWD,1062,17
50,FWD,1063,19
50,FWD,1064,15
50,FWD,1065,23
50,FWD,1066,19
50,FWD,1067,16
50,FWD,1068,17
50,FWD,1069,20
50,FWD,1070,18
50,FWD,1071,11
50,FWD,1072,17
50,FWD,1073,37
50,FWD,1074,33
50,FWD,1075,24
50,FWD,1076,18
50,FWD,1077,17
50,FWD,1078,40
50,FWD,1079,21
50,FWD,1080,17
50,FWD,1081,14
50,FWD,1082,17
50,FWD,1083,18
50,FWD,1084,18
50,FWD,1085,21
50,FWD,1086,19
50,FWD,1087,16
50,FWD,1088,17
50,FWD,1089,21
50,FWD,1090,16
50,FWD,1091,12
50,FWD,1092,0
50,FWD,1093,16
50,FWD,1094,17
50,FWD,1095,27
50,FWD,1096,19
50,FWD,1097,17
50,FWD,1098,18
50,FWD,1099,19
50,FWD,1100,16
50,FWD,1101,10
50,FWD,1102,17
50,FWD,1103,17
50,FWD,1104,17
50,FWD,1105,16
50,FWD,1106,16
50,FWD,1107,18
50,FWD,1108,21
50,FWD,1109,18
50,FWD,1110,16
50,FWD,1111,9
50,FWD,1112,25
50,FWD,1113,17
50,FWD,1114,15
50,FWD,1115,17
50,FWD,1116,18
50,FWD,1117,11
50,FWD,1118,22
50,FWD,1119,19
50,FWD,1120,16
50,FWD,1121,36
50,FWD,1122,20
50,FWD,1123,11
50,FWD,1124,17
50,FWD,1125,21
50,FWD,1126,19
50,FWD,1127,17
50,FWD,1128,17
50,FWD,1129,18
50,FWD,1130,14
50,FWD,1131,13
50,FWD,1132,10
50,FWD,1133,17
50,FWD,1134,17
50,FWD,1135,17
50,FWD,1136,18
50,FWD,1137,15
50,FWD,1138,25
50,FWD,1139,18
50,FWD,1140,0
50,FWD,1141,16
50,FWD,1142,20
50,FWD,1143,17
50,FWD,1144,15
50,FWD,1145,60
50,FWD,1146,19
50,FWD,1147,13
50,FWD,1148,18
50,FWD,1149,19
50,FWD,1150,13
50,FWD,1151,16
50,FWD,1152,19
50,FWD,1153,17
50,FWD,1154,82
50,FWD,1155,33
50,FWD,1156,21
50,FWD,1157,19
50,FWD,1158,16
50,FWD,1159,19
50,FWD,1160,17
50,FWD,1161,16
50,FWD,1162,16
50,FWD,1163,18
50,FWD,1164,14
50,FWD,1165,19
50,FWD,1166,21
50,FWD,1167,17
50,FWD,1168,15
50,FWD,1169,19
50,FWD,1170,18
50,FWD,1171,14
50,FWD,1172,21
50,FWD,1173,18
50,FWD,1174,15
50,FWD,1175,21
50,FWD,1176,18
50,FWD,1177,17
50,FWD,1178,18
