timestamp_ms,throttle,rudder,duty_left,duty_right,rpm_left_hz10,rpm_right_hz10,active_blocks_l,active_blocks_r,mean_is_l,mean_is_r,latch_resets,vbat_mv,pi_integral_l,pi_integral_r,pi_meas_ema_l
28155,0,800,895,-862,6054,-8439,8,8,2856,2879,0,17946,29997,29997,6896
28155,0,800,895,-862,6054,-8439,8,8,2856,2879,0,20323,29997,29997,6896
28159,0,800,895,-862,6054,-8439,8,8,2856,2879,0,30000,29997,29997,6896
28344,0,800,895,-895,5395,-5424,8,8,3275,3283,0,6153,29997,29997,5845
28345,0,800,895,-895,5395,-5424,8,8,3275,3283,0,7333,29997,29997,5845
28345,0,684,895,-895,5395,-5424,8,8,3275,3283,0,8293,29997,29997,5845
28346,0,684,895,-895,5395,-5424,8,8,3275,3283,0,15342,29997,29997,5845
28351,0,625,895,-895,5395,-5424,8,8,3275,3283,0,26248,29997,29997,5845
28529,0,449,760,-738,8245,-8355,8,8,2741,2724,0,5721,7047,-6626,7525
28530,0,433,760,-738,8245,-8355,8,8,2741,2724,0,6023,7047,-6626,7525
28534,0,0,760,-738,8245,-8355,8,8,2741,2724,0,5746,210,210,7525
28536,0,0,760,-738,8245,-8355,8,8,2741,2724,0,5876,210,210,7525
28551,0,0,760,-738,8245,-8355,8,8,2741,2724,0,6096,210,210,7525
28680,0,0,560,-700,0,-3683,8,8,209,188,0,5534,9999,9999,6773
28681,0,0,560,-700,0,-3683,8,8,209,188,0,5803,9999,9999,6773
28681,0,0,560,-700,0,-3683,8,8,209,188,0,5957,9999,9999,6773
28794,0,-543,433,-460,0,0,8,8,198,193,0,4891,-9999,-6322,6096
28797,0,-543,433,-460,0,0,8,8,198,193,0,5249,-9999,-6322,6096
28798,0,-798,433,-460,0,0,8,8,198,193,0,5412,-9999,-6322,6096
28934,0,-798,389,-410,0,0,1,1,23,21,0,5013,-9999,-9999,5486
28936,0,-798,389,-410,0,0,1,1,23,21,0,5363,-9999,-9999,5486
28937,0,-798,389,-410,0,0,1,1,23,21,0,5559,-9999,-9999,5486
28951,0,-798,389,-410,0,0,1,1,23,21,0,6364,-9999,-9999,5486
29024,0,-798,315,-315,0,0,8,8,148,151,0,5241,-9999,-9999,4937
29031,0,-798,315,-315,0,0,8,8,148,151,0,6348,-9999,-9999,4937
29109,0,-798,273,-273,0,0,8,8,162,149,0,5176,-9999,-9999,4443
29111,0,-798,273,-273,0,0,8,8,162,149,0,5575,-9999,-9999,4443
29187,0,-798,233,-233,0,0,8,8,145,139,0,5078,-9999,-9999,3999
29191,0,-798,233,-233,0,0,8,8,145,139,0,6063,-9999,-9999,3999
29262,0,-798,198,-198,0,0,8,8,169,141,0,4850,-19996,-19996,3599
29271,0,-798,198,-198,0,0,8,8,169,141,0,6332,-19996,-19996,3599
29334,0,-798,163,-163,0,0,8,8,169,141,0,4981,-19996,-19996,3239
29351,0,-798,163,-163,0,0,8,8,169,141,0,6291,-19996,-19996,3239
29407,0,-798,150,-150,0,0,8,8,156,156,0,138,-19996,-19996,2915
29468,0,-798,150,-150,0,0,8,8,154,160,0,4981,-19996,-19996,2624
29472,0,-798,150,-150,0,0,8,8,154,160,0,5282,-19996,-19996,2624
29522,0,-798,150,0,0,0,8,8,150,138,0,5217,-19996,0,2361
29551,0,-798,0,0,0,0,0,0,166,142,0,6267,-19996,0,2125
29591,0,-798,0,0,0,0,0,0,166,153,0,6299,0,0,1912
29631,0,-798,0,0,0,0,0,0,152,173,0,6356,0,0,1549
29671,0,-798,0,0,0,0,0,0,164,167,0,6340,0,0,1255
29711,0,-798,0,0,0,0,0,0,169,158,0,6218,0,0,1129
29751,0,-798,0,0,0,0,0,0,157,171,0,6088,0,0,914
29791,0,-798,0,0,0,0,0,0,148,147,0,6340,0,0,0
29831,0,-798,-216,216,0,0,8,8,160,159,0,8342,-5548,-5548,0
29901,0,-798,-324,324,-1498,1145,8,8,1674,1600,0,7032,-5548,-5548,1048
29911,0,-798,-324,324,-1498,1145,8,8,1674,1600,0,18166,-5548,-5548,1048
29997,0,-798,-461,461,-2246,2099,8,7,3590,3564,0,6316,29997,29997,1886
29998,0,-798,-461,461,-2246,2099,8,7,3590,3564,0,7553,29997,29997,1886
30139,0,-798,-641,641,-3417,3417,1,1,3952,3960,0,8912,29997,29997,2958
30139,0,-798,-641,641,-3417,3417,1,1,3952,3960,0,30000,29997,29997,2958
30143,0,-798,-641,641,-3417,3417,1,1,3952,3960,0,30000,29997,29997,2958
30151,0,-798,-641,641,-3417,3417,1,1,3952,3960,0,30000,29997,29997,2958
30344,0,-798,-894,894,0,4980,1,1,4019,4039,0,30000,29997,29997,2662
30344,0,-798,-894,894,0,4980,1,1,4019,4039,0,30000,29997,29997,2662
30345,0,-798,-894,894,0,4980,1,1,4019,4039,0,30000,29997,29997,2662
30345,0,-798,-894,894,0,4980,1,1,4019,4039,0,30000,29997,29997,2662
30351,0,-798,-894,894,0,4980,1,1,4019,4039,0,30000,29997,29997,2662
