t_s,cmdL,cmdR,velL,velR,iqL,iqR
8.50038743019104,0.049328,0.049328,0.0,0.0,-0.078173,-0.08603
8.540457725524902,0.049328,0.049328,0.0,0.0,-0.123215,-0.01627
8.580561399459839,0.049328,0.049328,0.0,0.0,-0.080092,-0.109065
8.620667219161987,0.049328,0.049328,0.0,0.0,0.015218,-0.063083
8.660770416259766,0.049328,0.049328,0.0,0.0,-0.008221,-0.064851
8.701823472976685,0.049328,0.049328,0.0,0.0,-0.055001,-0.087828
8.741904735565186,0.049328,0.049328,0.0,0.0,-0.007777,-0.063556
8.781971454620361,0.049328,0.049328,0.0,0.0,-0.055492,-0.085409
8.822046995162964,0.049328,0.049328,0.0,0.0,-0.07586,-0.061717
8.86211895942688,0.049328,0.049328,0.0,0.0,-0.007298,-0.062592
8.902221202850342,0.049328,0.049328,0.0,0.0,0.015824,0.054829
8.942294836044312,0.049328,0.049328,0.0,0.0,-0.03225,-0.013382
8.982394695281982,0.049328,0.049328,0.0,0.0,-0.006752,-0.035284
9.022462844848633,0.049328,0.049328,0.0,0.0,-0.00719,0.058912
9.062535762786865,0.049328,0.049328,0.0,0.0,-0.055069,-0.056412
9.10260796546936,0.049328,0.049328,0.0,0.0,0.016707,-0.010626
9.142709970474243,0.049328,0.049328,0.0,0.0,-0.096987,-0.055511
9.18278169631958,0.049328,0.049328,0.0,0.0,-0.142846,-0.309116
9.222870826721191,0.049328,0.049328,0.0,0.0,-0.007833,-0.054859
9.262942790985107,0.049328,0.049328,0.0,0.0,0.016243,-0.078364
9.30301284790039,0.049328,0.049328,0.0,0.0,-0.074935,-0.102888
9.343109130859375,0.049328,0.049328,0.0,0.0,-0.054832,-0.172264
9.383204221725464,0.049328,0.049328,0.0,0.0,-0.126304,-0.010294
9.42331051826477,0.049328,0.049328,0.0,0.0,-0.006333,0.060119
9.463417530059814,0.049328,0.049328,0.0,0.0,0.017036,-0.008362
9.503492593765259,0.049328,0.049328,0.0,0.0,-0.075221,-0.056252
9.543609619140625,0.049328,0.049328,0.0,0.0,-0.0304,-0.080549
9.583710670471191,0.049328,0.049328,0.0,0.0,-0.051652,-0.032803
9.623808860778809,0.049328,0.049328,0.0,0.0,-0.075682,-0.009841
9.66387391090393,0.049328,0.049328,0.0,0.0,-0.075691,0.060436
9.7039475440979,0.049328,0.049328,0.0,0.0,-0.075931,-0.124512
9.744018077850342,0.049328,0.049328,0.0,0.0,-0.076748,-0.053271
9.78411054611206,0.049328,0.049328,0.0,0.0,-0.05633,-0.217306
9.824215650558472,0.049328,0.049328,0.0,0.0,-0.009516,-0.05412
9.864333152770996,0.049328,0.049328,0.0,0.0,-0.009398,-0.00636
9.90440821647644,0.049328,0.049328,0.0,0.0,0.014532,-0.170807
9.944527864456177,0.049328,0.049328,0.0,0.0,0.014803,-0.054316
9.98460054397583,0.049328,0.049328,0.0,0.0,-0.0802,-0.123005
10.024714231491089,0.049328,0.049328,0.0,0.0,-0.032929,-0.07414
10.06478238105774,0.049328,0.049328,0.0,0.0,-0.077946,-0.097499
10.10484528541565,0.049328,0.049328,0.0,0.0,-0.009752,-0.005847
10.14486813545227,0.049328,0.049328,0.0,0.0,-0.077604,-0.029486
10.184938430786133,0.049328,0.049328,0.0,0.0,-0.056468,-0.077039
10.225005865097046,0.049328,0.049328,0.0,0.0,-0.012609,-0.079091
10.265113592147827,0.049328,0.049328,0.0,0.0,-0.057474,-0.031682
10.305226802825928,0.049328,0.049328,0.0,0.0,-0.05681,-0.009658
10.345333576202393,0.049328,0.049328,0.0,0.0,-0.030922,-0.010028
10.38544225692749,0.049328,0.049328,0.0,0.0,-0.0128,-0.057984
10.42555570602417,0.049328,0.049328,0.0,0.0,-0.014124,-0.059517
10.465657472610474,0.049328,0.049328,0.0,0.0,-0.104981,-0.363211
10.505759716033936,0.049328,0.049328,0.0,0.0,-0.014904,-0.177136
10.545873403549194,0.049328,0.049328,0.0,0.0,-0.081655,-0.176641
10.585973024368286,0.049328,0.049328,0.0,0.0,-0.014614,0.079432
10.626087665557861,0.049328,0.049328,0.0,0.0,-0.083435,-0.083904
10.666187763214111,0.049328,0.049328,0.0,0.0,-0.12908,-0.061868
10.706310987472534,0.049328,0.049328,0.0,0.0,-0.015138,-0.014101
10.74642276763916,0.049328,0.049328,0.0,0.0,-0.083209,-0.060408
10.786538362503052,0.049328,0.049328,0.0,0.0,-0.014784,-0.129437
10.826651096343994,0.049328,0.049328,0.0,0.0,-0.062178,-0.035498
10.866756677627563,0.049328,0.049328,0.0,0.0,-0.014029,0.080477
10.906860828399658,0.049328,0.049328,0.0,0.0,-0.013605,0.056574
10.946960687637329,0.049328,0.049328,0.0,0.0,-0.058219,-0.106511
10.987035751342773,0.049328,0.049328,0.0,0.0,-0.014111,-0.058833
11.027114629745483,0.049328,0.049328,0.0,0.0,-0.104304,-0.128587
11.067179679870605,0.049328,0.049328,0.0,0.0,0.0094,0.011822
11.10728669166565,0.049328,0.049328,0.0,0.0,0.009352,0.035006
11.147392272949219,0.049328,0.049328,0.0,0.0,-0.062108,-0.014938
11.187530994415283,0.049328,0.049328,0.0,0.0,-0.061582,0.008456
11.227601051330566,0.049328,0.049328,0.0,0.0,-0.013893,-0.060799
11.267714262008667,0.049328,0.049328,0.0,0.0,-0.014088,0.07733
11.307831048965454,0.049328,0.049328,0.0,0.0,-0.128256,0.007197
11.347931861877441,0.049328,0.049328,0.0,0.0,-0.083023,-0.086339
11.388011932373047,0.049328,0.049328,0.0,0.0,-0.015222,0.006444
11.428115606307983,0.049328,0.049328,0.0,0.0,-0.014997,0.005768
11.468300342559814,0.049328,0.049328,0.0,0.0,-0.057747,-0.042455
11.50841736793518,0.049328,0.049328,0.0,0.0,-0.013133,-0.044485
11.548519134521484,0.049328,0.049328,0.0,0.0,0.011066,-0.089058
11.588589429855347,0.049328,0.049328,0.0,0.0,0.010328,0.00441
11.628695011138916,0.049328,0.049328,0.0,0.0,-0.060768,-0.090602
