t_s,cmdL,cmdR,velL,velR,iqL,iqR
6.3800201416015625,-5.628016,6.0,-4.125,4.375,0.858072,-1.034538
6.420132637023926,-5.641791,6.0,-4.263889,4.513889,0.914381,-0.536322
6.46023964881897,-5.641791,6.0,-4.347222,4.625,0.930797,-0.838746
6.500349998474121,-5.628016,6.0,-4.430555,4.708333,0.813745,-0.447005
6.54046368598938,-5.628016,6.0,-4.541667,4.805555,0.733576,0.277982
6.580564022064209,-5.641791,6.0,-4.611111,4.888889,0.584875,-0.664833
6.620636224746704,-5.641791,6.0,-4.652778,4.930555,0.564717,-0.607005
6.660729885101318,-5.641791,6.0,-4.722222,4.986111,0.505461,-0.645211
6.700809001922607,-5.641791,6.0,-4.722222,5.027778,0.532549,-0.70116
6.740888357162476,-5.641791,6.0,-4.791667,5.069445,0.443208,-0.512497
6.781002044677734,-5.641791,6.0,-4.819445,5.097222,0.294106,-0.079676
6.82110595703125,-5.641791,6.0,-4.847222,5.097222,1.094663,-0.979504
6.86121129989624,-5.628016,6.0,-4.847222,5.111111,-0.108735,-0.507711
6.901312351226807,-5.616211,6.0,-4.875,5.069445,0.39468,-0.368635
6.941423654556274,-5.031502,5.400733,-4.875,5.097222,0.183619,-0.385099
6.981526613235474,-3.961905,4.345788,-4.763889,5.0,0.272234,-0.023164
7.021598815917969,-2.613919,2.98315,-4.513889,4.75,-0.579436,0.537701
7.061713218688965,-0.841026,1.210256,-4.055555,4.305555,-1.456756,1.290124
7.101856708526611,0.199267,0.184615,-3.430556,3.680556,-1.468658,1.589733
7.141912937164307,1.1663,-0.782418,-2.763889,3.013889,-1.764636,1.430537
7.181938409805298,2.257875,-1.888645,-2.041667,2.333333,-1.822526,1.844485
7.222010135650635,3.356777,-2.972894,-1.347222,1.541667,-1.906793,1.832675
7.262082815170288,4.61685,-4.232967,-0.666667,0.694444,-2.360966,2.121621
7.302185773849487,6.0,-5.633987,0.277778,-0.097222,-2.277689,2.356012
7.342293977737427,6.0,-5.640941,1.055556,-0.888889,-2.251483,2.168909
7.382395267486572,6.0,-5.627135,1.680556,-1.444444,-1.789852,2.021387
7.422508239746094,6.0,-5.640941,2.25,-1.944444,-1.830122,1.777963
7.4626123905181885,6.0,-5.627135,2.722222,-2.375,-1.533575,1.472191
7.502691268920898,6.0,-5.640941,3.138889,-2.805556,-1.474211,1.557264
7.5427937507629395,6.0,-5.640941,3.486111,-3.111111,-1.544789,1.23541
7.582864284515381,6.0,-5.627135,3.75,-3.402778,-0.864762,0.791552
7.622971296310425,6.0,-5.640941,4.027778,-3.652778,-1.323066,0.853029
7.663166761398315,6.0,-5.640941,4.208333,-3.833333,-0.26112,1.098714
7.703243732452393,6.0,-5.640941,4.361111,-4.013889,-0.846953,0.951891
7.743351697921753,6.0,-5.627135,4.513889,-4.138889,-0.289034,1.002866
7.783470392227173,6.0,-5.627135,4.666667,-4.25,-0.864104,0.479171
7.8235719203948975,6.0,-5.627135,4.736111,-4.347222,0.034621,0.704571
7.86368203163147,6.0,-5.627135,4.833333,-4.416667,0.066004,0.566118
7.903761625289917,6.0,-5.627135,4.930555,-4.472222,-0.270153,0.541685
7.943830490112305,6.0,-5.627135,4.986111,-4.527778,-0.507927,-0.092064
7.9840779304504395,6.0,-5.627135,5.055555,-4.583333,-0.076225,0.237473
