t_s,cmdL,cmdR,velL,velR,iqL,iqR
15.325514793395996,6.0,-5.794995,5.305555,-5.027778,-0.208052,0.113648
15.365620136260986,6.0,-5.794995,5.319445,-5.041667,-0.655697,0.262548
15.40574312210083,6.0,-5.794995,5.291667,-5.027778,-0.302625,0.434472
15.44581651687622,5.386081,-5.178022,5.277778,-4.986111,0.005832,0.757104
15.485906600952148,4.177289,-3.969231,5.166667,-4.847222,0.455117,-0.826532
15.525976657867432,2.587546,-2.379487,4.847222,-4.527778,1.217422,-1.10544
15.566081047058105,1.232234,-1.024176,4.333333,-4.041667,1.078675,-0.925155
15.606180429458618,0.609524,-0.401465,3.763889,-3.5,1.507033,-1.448296
15.64629340171814,0.118681,0.104029,3.125,-2.847222,1.006031,-1.187079
15.686384201049805,0.104029,0.104029,2.611111,-2.319444,0.95768,-0.88375
15.726457118988037,0.104029,0.104029,2.138889,-1.847222,0.613166,-0.706705
15.766557693481445,-0.540659,0.748718,1.722222,-1.402778,1.376471,-0.944414
15.806626796722412,-2.167033,2.375092,1.236111,-0.986111,1.29361,-1.614292
15.846696138381958,-4.394139,4.602198,0.625,-0.263889,2.178998,-2.009423
15.88692569732666,-5.795487,6.0,-0.263889,0.444444,2.311073,-2.161295
15.926997900009155,-5.795487,6.0,-0.902778,1.083333,2.344111,-1.97454
15.967065811157227,-5.795487,6.0,-1.555556,1.694444,2.058683,-2.115399
16.007173776626587,-5.795487,6.0,-2.083333,2.236111,1.294283,-1.905903
16.047287464141846,-5.795487,6.0,-2.527778,2.680556,1.457832,-1.684726
16.087600708007812,-5.795487,6.0,-2.958333,3.111111,1.217143,-1.426345
16.12772560119629,-5.795487,6.0,-3.305556,3.444444,1.0203,-0.759508
16.16782569885254,-5.795487,6.0,-3.583333,3.722222,0.848215,-0.846131
16.20789384841919,-5.795487,6.0,-3.819444,3.958333,0.572544,-0.624379
16.24796414375305,-5.795487,6.0,-4.041667,4.152778,1.024784,-0.795165
16.288036823272705,-5.795487,6.0,-4.208333,4.305555,0.747148,-0.642263
16.32813286781311,-5.795487,6.0,-4.361111,4.402778,0.712053,-0.937785
16.368237733840942,-5.795487,6.0,-4.472222,4.541667,0.597448,-0.917443
16.40835690498352,-5.795487,6.0,-4.569445,4.652778,0.732211,-0.491966
16.44844889640808,-5.795487,6.0,-4.680555,4.75,0.529743,-0.797164
16.48855233192444,-5.781347,6.0,-4.722222,4.805555,0.578864,-1.064257
16.528658390045166,-5.781347,6.0,-4.805555,4.861111,0.680986,-0.100221
16.56877636909485,-5.795487,6.0,-4.861111,4.930555,0.398129,-0.919304
16.60886025428772,-5.795487,6.0,-4.888889,4.958333,0.361768,-0.516822
16.648918390274048,-5.795487,6.0,-4.930555,5.013889,0.969693,-0.665692
16.688992738723755,-5.795487,6.0,-4.958333,5.041667,0.424609,-0.217372
16.729072332382202,-5.795487,6.0,-5.0,5.069445,0.640037,-0.204383
16.7691752910614,-5.781347,6.0,-4.986111,5.097222,0.35806,-0.738113
16.809277534484863,-5.795487,6.0,-5.055555,5.138889,0.91944,-0.381593
16.849395036697388,-5.795487,6.0,-5.041667,5.138889,0.779694,-0.304578
16.88946771621704,-5.795487,6.0,-5.041667,5.111111,0.400573,0.093936
16.929539680480957,-5.795487,6.0,-5.069445,5.138889,0.239023,-1.091275
16.969640970230103,-5.795487,6.0,-5.083333,5.152778,0.462544,-0.578996
17.009711742401123,-5.795487,6.0,-5.083333,5.152778,0.123196,-0.348197
17.049834728240967,-5.795487,6.0,-5.069445,5.166667,-0.098101,-0.06592
17.089985609054565,-5.795487,6.0,-5.097222,5.180555,1.080113,-0.605438
17.130087852478027,-5.795487,6.0,-5.111111,5.166667,0.337973,-0.226679
17.17019009590149,-5.795487,6.0,-5.097222,5.166667,0.417879,-0.546829
17.21029567718506,-5.795487,6.0,-5.111111,5.208333,0.080951,-0.548066
17.250391006469727,-5.795487,6.0,-5.097222,5.194445,0.663342,-0.366523
17.29053544998169,-5.795487,6.0,-5.097222,5.208333,0.589693,-0.727146
17.330644130706787,-5.795487,6.0,-5.125,5.208333,0.41392,-0.542069
17.370748043060303,-5.795487,6.0,-5.097222,5.194445,0.004077,0.483348
17.4108669757843,-5.795487,6.0,-5.097222,5.222222,-0.143801,-0.120016
17.4509060382843,-5.795487,6.0,-5.083333,5.208333,0.698503,0.185676
17.490986824035645,-5.795487,6.0,-5.125,5.236111,0.224715,-0.850921
17.531057834625244,-5.795487,6.0,-5.111111,5.236111,0.336092,-0.496761
17.57115364074707,-5.795487,6.0,-5.097222,5.208333,0.372301,-0.223379
17.61125874519348,-5.795487,6.0,-5.111111,5.208333,-0.161648,-0.512612
17.651379346847534,-5.795487,6.0,-5.138889,5.166667,0.287254,0.082061
17.691490173339844,-5.795487,6.0,-5.097222,5.180555,0.441046,-0.459714
17.731595993041992,-5.795487,6.0,-5.125,5.208333,0.429853,-0.538092
17.771665573120117,-5.795487,6.0,-5.111111,5.166667,-0.564322,-0.165412
17.811784029006958,-5.795487,6.0,-5.083333,5.166667,0.369336,-0.631709
17.851901054382324,-5.795487,6.0,-5.125,5.194445,0.5721,-0.490523
17.891971826553345,-5.795487,6.0,-5.138889,5.166667,0.105344,-0.287899
17.932044506072998,-5.795487,6.0,-5.111111,5.180555,0.120043,-0.921335
17.972147226333618,-5.795487,6.0,-5.111111,5.222222,-0.215249,-0.210227
18.012262105941772,-5.795487,6.0,-5.111111,5.208333,0.904092,-0.169387
18.052366018295288,-5.795487,6.0,-5.111111,5.208333,0.526311,-0.612873
18.092437505722046,-5.795487,6.0,-5.097222,5.222222,0.339263,0.088932
18.132550477981567,-5.795487,6.0,-5.125,5.208333,-0.042385,-0.296425
18.172662496566772,-5.795487,6.0,-5.125,5.194445,0.652129,-0.316748
18.21273398399353,-5.795487,6.0,-5.138889,5.194445,-0.173344,-0.695732
18.252850770950317,-5.795487,6.0,-5.111111,5.208333,0.417744,-0.412692
18.29290008544922,-5.795487,6.0,-5.111111,5.208333,0.377919,-0.537407
18.332980155944824,-5.795487,6.0,-5.111111,5.208333,0.888692,-0.433146
18.373059511184692,-5.795487,6.0,-5.111111,5.208333,0.678832,-0.78183
18.41313099861145,-5.795487,6.0,-5.125,5.194445,0.645877,-0.19374
18.453235864639282,-5.795487,6.0,-5.138889,5.180555,0.320402,-0.745876
18.493340492248535,-5.795487,6.0,-5.125,5.222222,0.343332,-0.41946
18.533459186553955,-5.795487,6.0,-5.125,5.194445,0.348585,-0.992021
18.573545217514038,-5.795487,6.0,-5.125,5.208333,0.141072,-0.354391
18.61365294456482,-5.795487,6.0,-5.111111,5.194445,-0.02455,0.267685
18.653886795043945,-5.795487,6.0,-5.097222,5.194445,0.147852,-0.464336
18.693958520889282,-5.795487,6.0,-5.125,5.208333,0.812853,-0.180221
18.73402738571167,-5.795487,6.0,-5.138889,5.222222,0.39576,-0.781135
18.774137258529663,-5.795487,6.0,-5.111111,5.236111,0.117956,-0.538367
18.814226150512695,-5.795487,6.0,-5.111111,5.208333,0.578243,-0.375899
18.854344844818115,-5.795487,6.0,-5.125,5.222222,0.499606,-0.661207
18.894447803497314,-5.795487,6.0,-5.125,5.180555,0.374394,0.551127
18.934539318084717,-5.795487,6.0,-5.111111,5.180555,0.212333,-0.37284
18.97460627555847,-5.795487,6.0,-5.097222,5.180555,-0.132798,-0.573889
19.014718294143677,-5.795487,6.0,-5.125,5.194445,0.751146,0.001457
19.05481743812561,-5.795487,6.0,-5.125,5.194445,0.427902,-0.397353
19.094882011413574,-5.795487,6.0,-5.125,5.208333,0.383528,-0.796566
19.134953022003174,-5.795487,6.0,-5.125,5.194445,-0.029159,-0.330889
19.175159454345703,-5.823869,6.0,-5.138889,5.194445,0.646912,-0.506891
19.21526598930359,-5.795487,6.0,-5.138889,5.194445,0.356981,-0.690506
19.255340099334717,-5.795487,6.0,-5.125,5.208333,0.353214,-0.599818
19.295447826385498,-5.795487,6.0,-5.125,5.222222,0.850173,-0.38696
19.3355655670166,-5.795487,6.0,-5.111111,5.194445,0.607748,-0.16224
19.375635385513306,-5.795487,6.0,-5.125,5.236111,0.455957,-0.31404
19.415751695632935,-5.795487,6.0,-5.097222,5.194445,0.095897,-0.22043
19.455839157104492,-5.795487,6.0,-5.111111,5.194445,-0.014969,-0.900435
19.495935678482056,-5.795487,6.0,-5.097222,5.208333,0.402789,-0.58028
19.536001682281494,-5.795487,6.0,-5.097222,5.194445,0.799262,0.403263
19.576122283935547,-5.795487,6.0,-5.111111,5.194445,0.539405,-0.672985
19.61623787879944,-5.795487,6.0,-5.111111,5.222222,0.174759,-0.331119
19.656323194503784,-5.795487,6.0,-5.097222,5.194445,-0.089214,-0.180182
19.69642925262451,-5.795487,6.0,-5.138889,5.222222,0.797341,-0.386782
19.736533164978027,-5.795487,6.0,-5.138889,5.180555,0.479262,-0.398474
19.7766432762146,-5.795487,6.0,-5.125,5.236111,0.531021,-0.672522
19.816746473312378,-5.795487,6.0,-5.111111,5.208333,-0.017715,-0.672625
19.85685420036316,-5.258608,5.466667,-5.097222,5.208333,0.662798,0.014848
19.89691972732544,-3.580953,3.789011,-4.972222,5.083333,-0.733373,0.194102
19.936986923217773,-2.013187,2.221246,-4.638889,4.722222,-1.242774,1.213531
19.977055072784424,-0.628571,0.83663,-4.097222,4.25,-1.946542,1.29644
20.01716136932373,0.104029,0.104029,-3.486111,3.597222,-1.242695,1.645505
20.057243824005127,0.104029,0.104029,-2.805556,2.986111,-1.025715,1.139743
20.097355127334595,0.104029,0.104029,-2.291667,2.416667,-1.005299,0.906482
20.13745403289795,0.279853,-0.071795,-1.833333,2.013889,-0.923213,0.755225
20.177531003952026,1.005128,-0.79707,-1.347222,1.555556,-1.139965,0.911856
20.217636346817017,2.023443,-1.815385,-0.916667,1.097222,-1.120532,1.206073
20.25771474838257,3.09304,-2.884982,-0.402778,0.541667,-1.311879,1.594271
20.29781150817871,4.441026,-4.232967,-0.055556,0.069444,-2.360013,1.827813
20.337916612625122,5.737729,-5.52967,0.736111,-0.486111,-2.210216,2.334211
20.377984285354614,6.0,-5.794995,1.277778,-1.083333,-1.566194,1.821423
20.418051719665527,6.0,-5.794995,1.916667,-1.736111,-1.573322,1.794707
20.458125352859497,6.0,-5.794995,2.444444,-2.25,-1.435141,1.575965
20.498242139816284,6.0,-5.794995,2.916667,-2.666667,-1.621889,1.168749
20.538316249847412,6.0,-5.794995,3.291667,-3.027778,-1.411339,1.487355
20.578423023223877,6.0,-5.794995,3.611111,-3.361111,-1.469668,1.242114
20.618523597717285,6.0,-5.794995,3.888889,-3.611111,-1.047859,1.175576
20.658639669418335,6.0,-5.794995,4.111111,-3.847222,-1.290462,0.822557
20.6987407207489,6.0,-5.794995,4.291667,-4.027778,-0.264455,0.589355
20.738800525665283,6.0,-5.794995,4.444445,-4.194445,-0.319,0.399202
20.77889585494995,6.0,-5.794995,4.597222,-4.333333,-1.067072,0.846516
20.818963766098022,6.0,-5.794995,4.694445,-4.444445,-0.801555,0.98201
20.859033823013306,6.0,-5.794995,4.805555,-4.555555,-0.695468,0.786523
20.89914035797119,6.0,-5.794995,4.861111,-4.611111,-0.671541,0.186598
20.939208507537842,6.0,-5.794995,4.944445,-4.694445,-0.482122,0.540436
20.979323387145996,6.0,-5.794995,4.986111,-4.75,-0.505926,0.334758
21.019423007965088,6.0,-5.794995,5.027778,-4.805555,-1.112069,0.599846
21.059525966644287,6.0,-5.794995,5.097222,-4.833333,-0.543248,0.963447
21.09959578514099,6.0,-5.794995,5.111111,-4.847222,-0.572178,0.268604
21.139673471450806,6.0,-5.794995,5.138889,-4.888889,-0.224629,0.140882
21.179787397384644,6.0,-5.794995,5.194445,-4.902778,-0.446164,0.537429
21.219838857650757,6.0,-5.794995,5.222222,-4.902778,-0.667924,0.451759
21.25987410545349,6.0,-5.794995,5.208333,-4.916667,0.28132,0.798957
21.299976348876953,6.0,-5.794995,5.236111,-4.930555,-0.208718,0.622604
21.34005331993103,6.0,-5.794995,5.25,-4.958333,-0.374499,0.391886
21.38013005256653,6.0,-5.794995,5.263889,-4.944445,-0.548512,0.146999
21.420246839523315,6.0,-5.794995,5.263889,-4.972222,-0.129148,0.980341
21.460319757461548,6.0,-5.794995,5.277778,-4.986111,-0.006116,0.785955
21.50039291381836,6.0,-5.794995,5.25,-4.972222,0.07097,0.986575
21.540461540222168,6.0,-5.794995,5.277778,-5.0,-0.229927,0.432569
21.580535650253296,6.0,-5.794995,5.277778,-5.0,0.17488,0.521281
21.620775938034058,6.0,-5.794995,5.291667,-5.013889,-0.356898,0.823437
21.66091251373291,6.0,-5.794995,5.263889,-5.027778,-0.15492,0.664974
21.70098328590393,6.0,-5.823444,5.305555,-5.027778,-0.40224,0.550589
21.74105715751648,6.0,-5.823444,5.263889,-5.027778,-0.591717,0.436144
21.78112268447876,6.0,-5.794995,5.291667,-5.027778,-0.390015,0.840215
21.82122564315796,6.0,-5.794995,5.291667,-5.013889,-0.899702,0.473434
21.8613383769989,6.0,-5.794995,5.291667,-5.0,-0.204995,0.757114
21.901453495025635,6.0,-5.823444,5.333333,-5.0,-0.418106,0.469582
21.941558837890625,6.0,-5.794995,5.305555,-5.0,-0.053887,0.513214
21.98167395591736,6.0,-5.794995,5.305555,-5.013889,-0.669936,0.647487
22.021791696548462,6.0,-5.794995,5.291667,-5.013889,-1.073973,0.270435
22.061925172805786,6.0,-5.794995,5.305555,-5.013889,-0.321402,0.576
22.101991891860962,6.0,-5.794995,5.291667,-5.013889,-0.792695,0.462945
22.142061471939087,6.0,-5.794995,5.277778,-5.013889,0.363179,0.202889
22.182177305221558,6.0,-5.794995,5.305555,-5.013889,-0.098389,0.650564
22.22226572036743,6.0,-5.794995,5.277778,-5.027778,-0.188844,-0.042337
22.262371301651,6.0,-5.794995,5.291667,-5.027778,-0.205239,0.957264
22.302478075027466,6.0,-5.794995,5.291667,-5.013889,-0.460165,0.551325
22.342584371566772,6.0,-5.794995,5.319445,-5.027778,-0.412132,0.987794
22.38271427154541,6.0,-5.794995,5.319445,-5.041667,-0.730299,1.086684
22.422858953475952,6.0,-5.794995,5.333333,-5.027778,0.232821,0.727841
22.46294617652893,6.0,-5.794995,5.319445,-5.041667,-0.307165,0.302498
22.503045320510864,6.0,-5.823444,5.319445,-5.041667,-0.770766,0.511033
22.543115615844727,6.0,-5.823444,5.333333,-5.013889,-0.401287,0.552463
22.583232641220093,6.0,-5.794995,5.319445,-4.986111,-0.469416,0.207663
22.62331247329712,6.0,-5.794995,5.291667,-5.013889,0.0882,0.332936
22.66342258453369,6.0,-5.823444,5.333333,-5.0,-0.421793,0.375339
22.703524112701416,6.0,-5.794995,5.305555,-5.013889,-0.584205,0.168898
22.74359893798828,6.0,-5.794995,5.305555,-5.027778,-0.57205,0.545503
22.783703565597534,6.0,-5.794995,5.305555,-5.013889,-0.854548,0.141039
22.8237783908844,6.0,-5.794995,5.319445,-5.0,-0.159668,0.390369
22.86390781402588,6.0,-5.794995,5.319445,-5.027778,-0.368136,0.51467
22.903976917266846,6.0,-5.794995,5.291667,-5.0,0.430899,-0.144741
22.94404673576355,6.0,-5.794995,5.319445,-5.027778,-0.466957,0.345849
22.984161853790283,6.0,-5.794995,5.291667,-5.041667,-0.603826,0.663086
23.02423858642578,6.0,-5.794995,5.291667,-5.041667,-0.49846,0.451217
23.064342975616455,6.0,-5.823444,5.333333,-5.041667,-0.500104,0.597379
23.104447841644287,6.0,-5.794995,5.291667,-5.027778,-0.016878,0.312584
23.14449715614319,6.0,-5.794995,5.319445,-5.013889,-0.331242,0.58478
23.184616565704346,6.0,-5.794995,5.347222,-5.0,-0.070322,0.646671
23.224686861038208,6.0,-5.794995,5.305555,-5.0,-0.765944,0.662703
23.264788389205933,6.0,-5.794995,5.305555,-5.013889,0.222558,0.655002
23.304839611053467,6.0,-5.794995,5.333333,-5.0,-0.199207,0.553566
23.344955444335938,6.0,-5.823444,5.319445,-5.0,-0.377849,0.345305
23.385027647018433,6.0,-5.823444,5.305555,-5.013889,0.22243,0.481081
23.425132274627686,6.0,-5.794995,5.319445,-5.027778,-0.215536,0.797977
23.46524429321289,6.0,-5.823444,5.291667,-5.027778,-0.035087,0.662003
23.5053288936615,6.0,-5.794995,5.305555,-5.041667,-0.661776,0.406674
23.545443773269653,6.0,-5.823444,5.319445,-5.055555,-0.597844,0.057788
23.585543870925903,6.0,-5.823444,5.305555,-5.041667,-0.118761,0.031866
23.625650882720947,6.0,-5.794995,5.305555,-5.041667,-0.399606,0.289882
23.665768146514893,6.0,-5.823444,5.319445,-5.041667,-0.011904,0.212684
23.705846309661865,6.0,-5.794995,5.319445,-5.055555,-0.588288,0.3443
23.745930194854736,6.0,-5.823444,5.319445,-5.041667,-0.454813,0.855411
23.786030530929565,6.0,-5.794995,5.333333,-5.055555,-0.230099,0.506582
23.82609987258911,6.0,-5.794995,5.333333,-5.055555,-0.260401,0.489783
23.86620807647705,6.0,-5.794995,5.333333,-5.041667,-0.255661,0.493082
23.90628170967102,6.0,-5.794995,5.333333,-5.013889,-0.639001,0.376713
23.9463951587677,6.0,-5.794995,5.305555,-5.013889,-0.361241,0.202562
23.986464262008667,6.0,-5.794995,5.305555,-5.0,-0.222824,0.355135
24.026583671569824,6.0,-5.794995,5.305555,-5.0,-0.573826,0.311675
24.066702127456665,6.0,-5.794995,5.305555,-5.013889,0.313506,0.570095
24.106817483901978,6.0,-5.794995,5.333333,-5.013889,-0.439438,-0.236877
24.146901845932007,6.0,-5.794995,5.291667,-5.013889,0.103328,0.050977
24.18701195716858,6.0,-5.794995,5.291667,-5.027778,-0.268166,0.031175
24.227084159851074,6.0,-5.794995,5.333333,-5.013889,-0.814561,-0.059395
24.267176389694214,6.0,-5.794995,5.319445,-5.013889,-0.115012,0.751862
24.30724573135376,6.0,-5.794995,5.319445,-5.027778,-0.528302,0.586552
24.34784746170044,6.0,-5.794995,5.319445,-5.041667,-0.472822,0.625941
24.387928247451782,6.0,-5.794995,5.319445,-5.027778,0.38881,0.357497
24.428033113479614,6.0,-5.794995,5.333333,-5.027778,-0.155052,0.359104
24.468104124069214,6.0,-5.794995,5.319445,-5.013889,0.136413,0.504303
24.50820231437683,6.0,-5.794995,5.319445,-5.013889,-0.505418,0.424239
24.548311948776245,6.0,-5.794995,5.319445,-4.986111,-0.72871,0.574373
24.58854842185974,6.0,-5.794995,5.319445,-5.0,0.058979,0.469377
24.628663063049316,6.0,-5.794995,5.305555,-5.013889,-0.387162,0.588134
24.6687753200531,6.0,-5.794995,5.305555,-5.013889,0.156007,0.657465
24.70891237258911,6.0,-5.794995,5.319445,-5.013889,-0.525418,0.526767
24.74898338317871,6.0,-5.794995,5.305555,-5.041667,-0.829508,0.464341
24.78905153274536,6.0,-5.794995,5.291667,-5.013889,-0.499866,0.361965
24.829147815704346,6.0,-5.823444,5.305555,-5.027778,-0.745766,-0.094884
24.869252920150757,6.0,-5.794995,5.305555,-5.027778,-0.444327,0.120985
24.909347534179688,6.0,-5.794995,5.333333,-5.027778,-0.28398,0.105359
24.949461460113525,6.0,-5.794995,5.305555,-5.027778,-0.181761,0.450741
24.989537477493286,6.0,-5.794995,5.319445,-5.041667,-0.423774,0.805297
25.029650926589966,6.0,-5.794995,5.319445,-5.055555,-0.747654,0.996374
25.069753170013428,6.0,-5.794995,5.305555,-5.027778,-0.099931,0.732391
25.10982656478882,6.0,-5.794995,5.319445,-5.055555,-0.33568,0.291263
25.149895906448364,6.0,-5.794995,5.291667,-5.041667,0.461615,0.571045
