t_ms,tgt_L,tgt_R,meas_L,meas_R,duty_L_pct,duty_R_pct,raw_L,raw_R
14226,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
14432,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
14638,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
14844,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
15050,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
15257,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
15463,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
15669,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
15875,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
16081,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
16287,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
16493,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
16700,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
16906,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
17112,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
17318,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
17524,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
17731,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
17937,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
18143,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
18349,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
18555,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
18761,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
18968,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
19174,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
19380,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
19586,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
19792,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
19999,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
